Gene	Chr	Start	Stop
glutathione S-transferase 1-like	NC_064874.1	89829335	89830215
cytochrome P450 4C1-like	NC_064874.1	90386037	90387759
cytochrome P450 4C1-like	NC_064874.1	90390014	90391724
cytochrome P450 4c3-like	NC_064874.1	90435150	90437087
cytochrome b5-like	NC_064874.1	90561782	90563113
probable cytochrome P450 9f2	NC_064874.1	91682385	91684135
probable cytochrome P450 9f2	NC_064874.1	91684577	91686552
cytochrome c-2	NC_064874.1	94131633	94133123
succinate dehydrogenase cytochrome b560 subunit, mitochondrial-like	NC_064875.1	3098403	3099327
probable cytochrome P450 6a13	NC_064875.1	5372396	5373998
probable cytochrome P450 6a13	NC_064875.1	5375193	5379990
probable cytochrome P450 9f2	NC_064875.1	8049223	8051198
probable cytochrome P450 9f2	NC_064875.1	8063651	8071483
probable cytochrome P450 9f2	NC_064875.1	8065565	8067521
probable cytochrome P450 9f2	NC_064875.1	8068783	8070584
cytochrome P450 9e2-like	NC_064875.1	8071660	8073628
gamma_aminobutyric_acid_receptor_alpha_like	NC_064875.1	23386750	23409499
microsomal glutathione S-transferase 1-like	NC_064875.1	25252521	25253001
cytochrome P450 6g1-like	NC_064875.1	27135288	27144377
cytochrome P450 6a2-like	NC_064875.1	27196486	27198428
glutathione S-transferase	NC_064875.1	31006752	31011623
sodium_channel_protein_para	NC_064875.1	35305908	35339285
probable cytochrome P450 313a4	NC_064875.1	46108799	46110356
probable cytochrome P450 313a4	NC_064875.1	46112458	46114023
cytochrome P450 3A19-like	NC_064875.1	46114443	46116113
probable cytochrome P450 313a1	NC_064875.1	46118005	46118634
probable cytochrome P450 4ac1	NC_064875.1	48317034	48319288
probable cytochrome P450 4ac1	NC_064875.1	48325363	48327322
gamma_aminobutyric_acid_receptor_subunit_beta	NC_064875.1	53378544	53446631
probable cytochrome P450 305a1	NC_064875.1	64255984	64257836
probable cytochrome P450 305a1	NC_064875.1	64258200	64260795
probable cytochrome P450 308a1	NC_064875.1	66235748	66238127
cytochrome P450 302a1, mitochondrial	NC_064875.1	68020602	68022694
probable cytochrome P450 49a1	NC_064875.1	69048518	69059009
acetylcholinesterase___like	NC_064875.1	69156909	69162198
probable cytochrome P450 301a1, mitochondrial	NC_064875.1	69864956	69870954
